# spectral number density of the AccretionDisc photon field
# -----------------------------------------------
# Parameters:
# mode,Lf,eta,M:		mcbb,1.00,0.10,1.0E+08 Msun
# Ldisc,f_IR,f_cor,f_BLR:	1.2117E+45 erg/s,0.26,0.27,[0.01,0.01]
# Rin,Rout,Rdiss:		3.00E+00,5.00E+02,8.09E+04 R_S
# T_IR,R_cor,b_X,Eup:	200 K,30.00,0.90,500 keV
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
3.630780547700022888e+10,1.011422543419563866e+10
3.715352290970709991e+10,1.034976339254806900e+10
3.801893963204570770e+10,1.059078525521903801e+10
3.890451449941738892e+10,1.083741864190853310e+10
3.981071705533878326e+10,1.108979413945580292e+10
4.073802778040005493e+10,1.134804537069350243e+10
4.168693834702204132e+10,1.161230906489349937e+10
4.265795188014747620e+10,1.188272512984068489e+10
4.365158322400451660e+10,1.215943672557233429e+10
4.466835921508392334e+10,1.244259033982089996e+10
4.570881896147480774e+10,1.273233586519954681e+10
4.677351412870680237e+10,1.302882667817008018e+10
4.786300923225048828e+10,1.333221971983421516e+10
4.897788193683094025e+10,1.364267557858989525e+10
5.011872336271320343e+10,1.396035857469515800e+10
5.128613839912210846e+10,1.428543684678337097e+10
5.248074602496252441e+10,1.461808244037425804e+10
5.370317963701016998e+10,1.495847139842630577e+10
5.495408738574697113e+10,1.530678385397727394e+10
5.623413251901903534e+10,1.566320412492027283e+10
5.754399373369942474e+10,1.602792081096421432e+10
5.888436553554222107e+10,1.640112689282843781e+10
6.025595860741867828e+10,1.678301983372228241e+10
6.165950018613069153e+10,1.717380168316178513e+10
6.309573444800136566e+10,1.757367918317656326e+10
6.456542290344713593e+10,1.798286387696128845e+10
6.606934480074073029e+10,1.840157222002736664e+10
6.760829753917883301e+10,1.883002569391144943e+10
6.918309709187382507e+10,1.926845092249902344e+10
7.079457843839346313e+10,1.971707979102232742e+10
7.244359600747816467e+10,2.017614956779316711e+10
7.413102413007038879e+10,2.064590302873266220e+10
7.585775750289648438e+10,2.112658858476130676e+10
7.762471166284672546e+10,2.161846041211394882e+10
7.943282347240515137e+10,2.212177858564586639e+10
8.128305161638635254e+10,2.263680921519764709e+10
8.317637711024293518e+10,2.316382458508776474e+10
8.511380382021287537e+10,2.370310329680346298e+10
8.709635899558267212e+10,2.425493041496218109e+10
8.912509381334852600e+10,2.481959761661693573e+10
9.120108393556430054e+10,2.539740334398133850e+10
9.332543007967175293e+10,2.598865296065057373e+10
9.549925860211557007e+10,2.659365891139751816e+10
9.772372209555233765e+10,2.721274088562375259e+10
9.999999999997055054e+10,2.784622598454777527e+10
1.023292992280452271e+11,2.849444889221408463e+10
1.047128548050590057e+11,2.915775205040842819e+10
1.071519305237289276e+11,2.983648583756711578e+10
1.096478196142859955e+11,3.053100875176900101e+10
1.122018454301630249e+11,3.124168759790181351e+10
1.148153621496541290e+11,3.196889767909560776e+10
1.174897554939179535e+11,3.271302299251838303e+10
1.202264434617054138e+11,3.347445642963112259e+10
1.230268770812013855e+11,3.425359998100120544e+10
1.258925411793790283e+11,3.505086494577528381e+10
1.288249551692747650e+11,3.586667214591529083e+10
1.318256738556011047e+11,3.670145214530248260e+10
1.348962882591247711e+11,3.755564547381798553e+10
1.380384264602468872e+11,3.842970285650877380e+10
1.412537544622327881e+11,3.932408544795215607e+10
1.445439770745490417e+11,4.023926507193276215e+10
1.479108388167759399e+11,4.117572446654906464e+10
1.513561248435748901e+11,4.213395753486856842e+10
1.548816618912010803e+11,4.311446960125369263e+10
1.584893192460631104e+11,4.411777767348203278e+10
1.621810097358435669e+11,4.514441071078827667e+10
1.659586907437053833e+11,4.619490989795639801e+10
1.698243652461224976e+11,4.726982892559483337e+10
1.737800828748843079e+11,4.836973427672809601e+10
1.778279410038377380e+11,4.949520551984308624e+10
1.819700858609424438e+11,5.064683560852946472e+10
1.862087136662294312e+11,5.182523118785669708e+10
1.905460717962659912e+11,5.303101290763375854e+10
1.949844599757443237e+11,5.426481574269948578e+10
1.995262314968262634e+11,5.552728932039495850e+10
2.041737944668897095e+11,5.681909825537229919e+10
2.089296130853391418e+11,5.814092249189672089e+10
2.137962089501567993e+11,5.949345765380242157e+10
2.187761623948871765e+11,6.087741540226522064e+10
2.238721138567641907e+11,6.229352380155888367e+10
2.290867652767057800e+11,6.374252769296369171e+10
2.344228815319189148e+11,6.522518907700108337e+10
2.398832919018739319e+11,6.674228750416938019e+10
2.454708915684260559e+11,6.829462047435999298e+10
2.511886431508791199e+11,6.988300384513711548e+10
2.570395782768055115e+11,7.150827224906559753e+10
2.630267991894553223e+11,7.317127952027722168e+10
2.691534803926066284e+11,7.487289913046704102e+10
2.754228703337296143e+11,7.661402463451640320e+10
2.818382931263561401e+11,7.839557012594152832e+10
2.884031503125691528e+11,8.021847070237092590e+10
2.951209226665448608e+11,8.208368294125755310e+10
3.019951720401055908e+11,8.399218538603654480e+10
3.090295432512606201e+11,8.594497904294070435e+10
3.162277660167370605e+11,8.794308788869204712e+10
3.235936569295248413e+11,8.998755938928936768e+10
3.311311214824851074e+11,9.207946503011625671e+10
3.388441561390939331e+11,9.421990085759741211e+10
3.467368504524203491e+11,9.640998803263511658e+10
3.548133892334613647e+11,9.865087339606056213e+10
3.630780547699844360e+11,1.009437300463393402e+11
3.715352290970527344e+11,1.032897579297729797e+11
3.801893963204384155e+11,1.056901844434432373e+11
3.890451449941547852e+11,1.081462650511490173e+11
3.981071705533682861e+11,1.106592839125879517e+11
4.073802778039805908e+11,1.132305545260417328e+11
4.168693834701999512e+11,1.158614203848238068e+11
4.265795188014538574e+11,1.185532556477548981e+11
4.365158322400236816e+11,1.213074658239332581e+11
4.466835921508173218e+11,1.241254884720708466e+11
4.570881896147255859e+11,1.270087939146701508e+11
4.677351412870450439e+11,1.299588859673199463e+11
4.786300923224814453e+11,1.329773026833904114e+11
4.897788193682854004e+11,1.360656171144124603e+11
5.011872336271074829e+11,1.392254380864291382e+11
5.128613839911959229e+11,1.424584109926101990e+11
5.248074602495994873e+11,1.457662186024222107e+11
5.370317963700753174e+11,1.491505818876522827e+11
5.495408738574427490e+11,1.526132608655845032e+11
5.623413251901627197e+11,1.561560554596304932e+11
5.754399373369659424e+11,1.597808063777191467e+11
5.888436553553933105e+11,1.634893960087528381e+11
6.025595860741572266e+11,1.672837493374378967e+11
6.165950018612767334e+11,1.711658348778027344e+11
6.309573444799826660e+11,1.751376656257138367e+11
6.456542290344396973e+11,1.792013000307065430e+11
6.606934480073748779e+11,1.833588429874452209e+11
6.760829753917551270e+11,1.876124468471307373e+11
6.918309709187042236e+11,1.919643124491724854e+11
7.079457843838999023e+11,1.964166901734446716e+11
7.244359600747460938e+11,2.009718810134446106e+11
7.413102413006676025e+11,2.056322376706735840e+11
7.585775750289276123e+11,2.104001656705568542e+11
7.762471166284291992e+11,2.152781245002232971e+11
7.943282347240124512e+11,2.202686287684591980e+11
8.128305161638236084e+11,2.253742493881536560e+11
8.317637711023885498e+11,2.305976147815470276e+11
8.511380382020869141e+11,2.359414121085956726e+11
8.709635899557839355e+11,2.414083885187592163e+11
8.912509381334415283e+11,2.470013524265170898e+11
9.120108393555981445e+11,2.527231748109123535e+11
9.332543007966717529e+11,2.585767905394225464e+11
9.549925860211087646e+11,2.645651997164451294e+11
9.772372209554754639e+11,2.706914690566856384e+11
9.999999999996563721e+11,2.769587332837233276e+11
1.023292992280402100e+12,2.833701965540309448e+11
1.047128548050538696e+12,2.899291339067049561e+11
1.071519305237236694e+12,2.966388927391661987e+11
1.096478196142806152e+12,3.035028943090716553e+11
1.122018454301575195e+12,3.105246352626708984e+11
1.148153621496484863e+12,3.177076891898311768e+11
1.174897554939121826e+12,3.250557082059360962e+11
1.202264434616995117e+12,3.325724245608554688e+11
1.230268770811953369e+12,3.402616522751653442e+11
1.258925411793728516e+12,3.481272888037800293e+11
1.288249551692684326e+12,3.561733167271418457e+11
1.318256738555946533e+12,3.644038054700982056e+11
1.348962882591181641e+12,3.728229130485652466e+11
1.380384264602401123e+12,3.814348878440706177e+11
1.412537544622258545e+12,3.902440704062279053e+11
1.445439770745419434e+12,3.992548952831817017e+11
1.479108388167687012e+12,4.084718928800307617e+11
1.513561248435674805e+12,4.178996913452089233e+11
1.548816618911934814e+12,4.275430184847686157e+11
1.584893192460553467e+12,4.374067037044862671e+11
1.621810097358355957e+12,4.474956799796675415e+11
1.659586907436972412e+12,4.578149858524946899e+11
1.698243652461141602e+12,4.683697674567197876e+11
1.737800828748757812e+12,4.791652805694644165e+11
1.778279410038290039e+12,4.902068926898406982e+11
1.819700858609334961e+12,5.015000851440626221e+11
1.862087136662202881e+12,5.130504552166640015e+11
1.905460717962566406e+12,5.248637183073881226e+11
1.949844599757347656e+12,5.369457101132546387e+11
1.995262314968164795e+12,5.493023888352527466e+11
2.041737944668796875e+12,5.619398374090395508e+11
2.089296130853288818e+12,5.748642657589687500e+11
2.137962089501462891e+12,5.880820130746794434e+11
2.187761623948764404e+12,6.015995501094332275e+11
2.238721138567531738e+12,6.154234814992724609e+11
2.290867652766945312e+12,6.295605481020212402e+11
2.344228815319074219e+12,6.440176293550351562e+11
2.398832919018621582e+12,6.588017456505346680e+11
2.454708915684140137e+12,6.739200607272430420e+11
2.511886431508667969e+12,6.893798840769553223e+11
2.570395782767928711e+12,7.051886733645523682e+11
2.630267991894423828e+12,7.213540368598620605e+11
2.691534803925934082e+12,7.378837358796403809e+11
2.754228703337160645e+12,7.547856872378364258e+11
2.818382931263423340e+12,7.720679657021496582e+11
2.884031503125549805e+12,7.897388064547651367e+11
2.951209226665303711e+12,8.078066075549940186e+11
3.019951720400907227e+12,8.262799324014030762e+11
